StoreID,Date,Weekly_Sales,Holiday,Temperature,Fuel_Price,Unemployment
1,05/02/2020,1643690.9,No,5.727777778,2.572,8.106
1,12/02/2020,1641957.44,Yes,3.616666667,2.548,8.106
1,19/02/2020,1611968.17,No,4.405555556,2.514,8.106
1,26/02/2020,1409727.59,No,8.127777778,2.561,8.106
1,05/03/2020,1554806.68,No,8.055555556,2.625,8.106
1,12/03/2020,1439541.59,No,14.32777778,2.667,8.106
1,19/03/2020,1472515.79,No,12.54444444,2.72,8.106
1,26/03/2020,1404429.92,No,10.80555556,2.732,8.106
1,02/04/2020,1594968.28,No,16.81666667,2.719,7.808
1,09/04/2020,1545418.53,No,18.81111111,2.77,7.808
1,16/04/2020,1466058.28,No,19.06666667,2.808,7.808
1,23/04/2020,1391256.12,No,18.24444444,2.795,7.808
1,30/04/2020,1425100.71,No,19.67222222,2.78,7.808
1,07/05/2020,1603955.12,No,22.52777778,2.835,7.808
1,14/05/2020,1494251.5,No,23.76666667,2.854,7.808
1,21/05/2020,1399662.07,No,24.68888889,2.826,7.808
1,28/05/2020,1432069.95,No,26.91111111,2.759,7.808
1,04/06/2020,1615524.71,No,27.05,2.705,7.808
1,11/06/2020,1542561.09,No,26.90555556,2.668,7.808
1,18/06/2020,1503284.06,No,28.95,2.637,7.808
1,25/06/2020,1422711.6,No,29.07777778,2.653,7.808
1,02/07/2020,1492418.14,No,27.17222222,2.669,7.787
1,09/07/2020,1546074.18,No,26.93333333,2.642,7.787
1,16/07/2020,1448938.92,No,28.41666667,2.623,7.787
1,23/07/2020,1385065.2,No,28.53333333,2.608,7.787
1,30/07/2020,1371986.6,No,27.68888889,2.64,7.787
1,06/08/2020,1605491.78,No,30.64444444,2.627,7.787
1,13/08/2020,1508237.76,No,30.55555556,2.692,7.787
1,20/08/2020,1513080.49,No,30.36111111,2.664,7.787
1,27/08/2020,1449142.92,No,29.56666667,2.619,7.787
1,03/09/2020,1540163.53,No,27.33888889,2.577,7.787
1,10/09/2020,1507460.69,Yes,25.93888889,2.565,7.787
1,17/09/2020,1430378.67,No,27.83888889,2.582,7.787
1,24/09/2020,1351791.03,No,27.18888889,2.624,7.787
1,01/10/2020,1453329.5,No,22.16111111,2.603,7.838
1,08/10/2020,1508239.93,No,17.73888889,2.633,7.838
1,15/10/2020,1459409.1,No,19.54444444,2.72,7.838
1,22/10/2020,1345454,No,21.03333333,2.725,7.838
1,29/10/2020,1384209.22,No,20.91111111,2.716,7.838
